Player,Pass%,xPass%,Score,Per100,Distance,Vertical,Touch%
Ryan Hollingshead,82.82%,80.42%,42.81,2.40,18.02,2.75,10.34%
Daniel Steres,84.02%,80.70%,42.62,3.32,23.81,10.89,8.53%
Walker Zimmerman,85.14%,81.95%,42.41,3.18,21.65,9.14,8.85%
Zarek Valentin,84.07%,80.19%,41.97,3.89,21.02,4.51,9.16%
Cristian Roldan,84.18%,81.72%,41.19,2.46,20.07,4.87,10.81%
Matt Besler,85.46%,82.87%,41.13,2.59,23.29,9.37,11.37%
Jack Price,80.88%,77.94%,40.66,2.94,23.42,5.90,10.68%
Kai Wagner,79.50%,77.10%,40.27,2.40,18.90,2.06,10.23%
Marco Delgado,85.10%,82.96%,40.19,2.14,17.39,4.42,10.72%
Matías Vera,91.10%,88.29%,39.74,2.81,21.66,4.00,10.28%
Erik Godoy,81.26%,78.41%,39.43,2.85,24.41,10.20,10.04%
Alejandro Bedoya,85.25%,82.90%,39.42,2.35,16.37,2.20,9.23%
Steven Birnbaum,79.70%,77.10%,38.44,2.60,21.24,11.18,8.75%
Tim Parker,73.61%,69.60%,38.32,4.01,22.58,14.70,7.07%
Dax McCarty,86.44%,84.58%,37.35,1.86,19.03,4.65,11.99%
Jorge Moreira,76.02%,73.55%,36.89,2.46,21.26,5.56,11.35%
Jackson Yueill,87.36%,85.58%,36.86,1.77,20.53,4.60,10.75%
Florian Jungwirth,86.93%,84.84%,36.54,2.09,24.29,7.65,10.46%
Aljaz Struna,88.31%,85.49%,36.14,2.82,22.15,8.60,9.85%
Gustav Svensson,87.15%,84.25%,35.80,2.89,22.54,8.20,9.85%
Drew Moor,91.15%,85.76%,35.26,5.38,20.00,8.38,8.73%
Jonathan Mensah,84.37%,81.75%,35.00,2.62,23.04,9.41,10.79%
Bacary Sagna,76.72%,74.43%,34.62,2.28,18.15,4.15,10.79%
Tommy Smith,82.79%,78.74%,34.60,4.05,24.34,11.31,7.57%
Tristan Blackmon,86.95%,83.61%,34.31,3.34,18.48,5.71,9.32%
Laurent Ciman,88.11%,83.84%,34.14,4.27,24.99,8.97,8.39%
Jorge Villafaña,77.91%,75.08%,33.50,2.82,18.29,4.09,9.52%
Antonio Mlinar Delamea,87.23%,81.82%,33.10,5.42,22.25,8.89,8.10%
Aaron Herrera,79.71%,77.66%,32.12,2.05,22.19,6.02,10.44%
Lee Nguyen,88.75%,85.24%,31.53,3.51,17.07,2.80,6.13%
Albert Rusnák,83.19%,80.74%,31.14,2.45,21.05,2.14,8.61%
Stefan Frei,76.01%,73.44%,30.56,2.56,38.41,28.94,17.29%
Sebastián Méndez,89.87%,87.70%,30.03,2.17,18.16,3.90,11.24%
Miles Robinson,87.01%,85.49%,29.27,1.52,22.10,6.57,10.91%
Donny Toia,78.86%,76.55%,28.88,2.31,20.37,6.86,10.21%
A.J. DeLaGarza,81.05%,78.20%,28.82,2.85,19.67,4.03,8.97%
Lalas Abubakar,83.82%,80.03%,28.77,3.79,22.99,9.49,9.40%
Andreu Fontàs,89.83%,86.33%,28.54,3.50,21.41,7.83,10.76%
Jukka Raitala,85.03%,82.64%,28.44,2.39,22.26,8.14,8.74%
Kim Kee-hee,84.59%,82.49%,28.22,2.10,23.59,9.06,8.42%
Jonathan Osorio,87.04%,84.29%,27.81,2.75,16.34,1.87,7.25%
Nedum Onuoha,87.61%,85.02%,27.52,2.58,21.43,6.25,8.61%
Víctor Cabrera,86.00%,82.57%,27.41,3.43,24.35,8.92,10.73%
Liam Fraser,88.54%,84.84%,27.12,3.70,22.12,5.88,13.63%
Justin Hoyte,86.57%,83.28%,26.91,3.29,20.70,5.48,9.57%
Michael Boxall,84.61%,82.01%,26.82,2.60,21.16,7.56,8.68%
Maynor Figueroa,81.78%,79.82%,26.63,1.96,24.18,11.98,11.50%
Eriq Zavaleta,90.24%,86.07%,26.47,4.17,22.04,5.66,6.72%
Reggie Cannon,83.45%,81.46%,26.27,1.99,17.01,0.49,8.97%
Greg Garza,82.86%,78.45%,26.23,4.41,18.87,4.68,10.30%
Justen Glad,84.09%,81.78%,25.87,2.31,22.37,9.02,9.45%
Boniek García,86.53%,84.67%,25.53,1.86,18.70,3.45,9.12%
Paxton Pomykal,83.94%,81.61%,25.43,2.33,19.24,3.03,8.56%
Ilsinho,83.43%,79.83%,25.20,3.60,15.32,0.60,5.26%
Russell Teibert,86.87%,84.08%,25.12,2.79,17.37,2.62,6.91%
Harrison Afful,77.83%,75.77%,24.62,2.07,19.85,5.11,10.80%
Botond Baráth,87.77%,85.36%,24.42,2.41,23.52,6.88,9.42%
Xavier Arreaga,88.12%,84.38%,23.98,3.75,23.86,9.24,9.58%
Gastón Sauro,88.28%,84.71%,23.45,3.57,21.23,6.98,8.10%
Graham Smith,91.98%,87.29%,23.45,4.70,22.79,7.81,9.98%
Alejandro Pozuelo,79.14%,77.90%,23.34,1.24,19.11,2.39,11.08%
Andre Blake,70.57%,67.33%,22.67,3.24,40.66,33.61,15.63%
Raymon Gaddis,83.00%,81.64%,22.63,1.36,18.15,3.06,8.99%
Brandon Bye,66.82%,65.13%,22.53,1.69,18.51,8.61,10.17%
Josh Williams,85.19%,82.13%,22.53,3.06,21.21,8.41,8.96%
Jan Gregus,80.90%,79.78%,21.62,1.12,21.45,4.89,12.81%
Felipe Gutiérrez,83.52%,82.17%,21.46,1.35,20.69,3.52,10.08%
Magnus Eriksson,78.29%,77.09%,21.36,1.20,19.12,3.84,10.04%
Chad Marshall,91.26%,85.43%,21.34,5.83,21.95,7.66,7.93%
Kamal Miller,79.82%,76.68%,21.33,3.14,20.74,7.24,8.89%
Djordje Mihailovic,80.98%,78.31%,21.30,2.67,19.92,3.37,6.09%
Justin Morrow,81.70%,80.14%,21.28,1.56,16.83,0.22,8.60%
Russell Canouse,86.01%,84.27%,21.21,1.74,18.06,3.91,9.76%
Auston Trusty,79.83%,77.85%,21.12,1.98,23.71,10.46,9.51%
Steven Beitashour,84.10%,82.35%,20.83,1.75,17.28,1.67,7.91%
Bill Tuiloma,84.10%,81.71%,20.77,2.39,24.02,10.33,7.60%
Claude Dielna,82.55%,79.29%,20.70,3.25,24.62,10.58,8.77%
Julio Cascante,86.87%,83.82%,20.70,3.05,21.82,8.00,7.12%
Dave Romney,82.91%,77.68%,20.48,5.22,19.74,6.02,7.43%
Robin Jansson,82.97%,80.97%,20.37,2.00,23.78,11.80,8.08%
Micheal Azira,86.45%,83.78%,20.27,2.67,19.55,3.32,6.87%
Omar González,82.65%,80.12%,19.88,2.54,24.70,10.50,9.58%
Héctor Jiménez,79.32%,77.28%,19.36,2.04,18.41,4.65,7.96%
Joe Corona,85.96%,84.75%,19.25,1.20,17.04,4.45,10.47%
DaMarcus Beasley,82.32%,79.41%,19.04,2.90,17.96,4.10,11.12%
Scott Sutter,80.04%,76.68%,18.99,3.36,17.88,3.71,7.29%
Andrew Farrell,76.16%,74.62%,18.91,1.54,24.34,13.49,10.56%
Alex Crognale,81.61%,76.89%,18.74,4.72,24.82,12.84,7.47%
Kyle Smith,79.26%,76.64%,18.45,2.62,17.95,4.78,7.08%
Judson,87.96%,86.39%,18.36,1.57,22.13,4.89,8.22%
Florentin Pogba,82.52%,78.86%,18.03,3.66,22.30,7.99,7.95%
Frédéric Brillant,81.66%,80.33%,17.87,1.32,21.95,10.26,8.42%
Michael Mancienne,81.29%,78.09%,17.81,3.20,23.45,10.28,8.40%
Ronald Matarrita,77.03%,75.74%,17.77,1.29,19.45,3.54,10.52%
Michael Parkhurst,85.33%,83.40%,17.69,1.92,19.01,4.47,8.08%
Harold Cummings,86.46%,84.54%,17.69,1.92,23.63,8.62,10.98%
Mathieu Deplagne,79.21%,78.08%,17.52,1.13,19.02,5.35,10.07%
Jonathan Bornstein,80.54%,76.60%,17.41,3.94,18.32,5.03,8.68%
Nick Hagglund,79.32%,77.49%,17.27,1.83,25.02,10.75,9.98%
Joevin Jones,84.09%,81.21%,17.20,2.88,18.34,-0.11,6.56%
Sean Johnson,75.18%,73.65%,17.10,1.53,37.40,27.77,14.76%
Kelvin Leerdam,78.18%,76.97%,17.02,1.21,18.64,2.71,8.91%
Richie Laryea,85.37%,82.97%,16.67,2.39,16.09,-0.91,7.28%
Nick Lima,81.14%,79.35%,16.60,1.79,19.07,0.66,7.62%
Latif Blessing,84.64%,83.57%,16.06,1.07,15.88,3.72,8.80%
Ben Sweat,80.78%,78.83%,16.04,1.95,17.51,3.20,7.81%
Andy Polo,84.90%,82.13%,15.92,2.76,17.71,1.71,5.56%
Uriel Antuna,76.36%,74.32%,15.36,2.04,16.69,-0.66,5.91%
Connor Maloney,77.47%,73.39%,14.85,4.08,19.01,6.20,8.59%
Romain Métanire,71.77%,70.88%,14.83,0.90,20.66,6.72,12.67%
Edwin Cerrillo,92.33%,89.84%,14.63,2.49,18.89,2.34,9.00%
Larrys Mabiala,83.95%,82.26%,14.56,1.69,21.77,7.66,8.10%
Ebenezer Ofori,88.79%,86.88%,14.42,1.90,18.66,3.67,6.99%
Seth Sinovic,80.77%,79.55%,14.24,1.21,18.78,2.88,9.44%
Chase Gasper,75.47%,73.41%,14.21,2.06,20.93,5.46,10.09%
Nick DeLeon,81.38%,79.83%,13.92,1.55,17.01,1.82,5.48%
Hwang In-Beom,84.58%,83.82%,13.77,0.76,19.76,3.55,10.87%
Jorge Corrales,79.94%,77.98%,13.47,1.96,18.17,4.97,7.14%
Jake Nerwinski,79.31%,77.97%,13.19,1.34,17.32,2.59,8.12%
Sean Nealis,77.78%,68.64%,13.16,9.14,21.28,12.78,5.64%
Jon Erice,86.06%,84.93%,13.06,1.12,19.47,6.99,10.54%
Rudy Camacho,87.30%,86.07%,12.76,1.23,22.75,7.99,11.15%
Ike Opara,81.62%,80.47%,12.52,1.15,20.84,8.66,8.44%
Johan Kappelhof,81.78%,80.71%,12.41,1.07,19.94,6.08,8.35%
Valeri Qazaishvili,83.79%,82.38%,12.33,1.42,15.99,1.41,6.43%
Sam Vines,77.57%,76.21%,12.20,1.36,20.21,6.86,8.55%
Brad Smith,76.87%,75.98%,12.13,0.89,16.91,3.01,9.89%
Jørgen Skjelvik,78.41%,76.90%,11.98,1.51,16.37,2.80,7.96%
Quentin Westberg,75.92%,74.76%,11.94,1.15,36.94,28.40,15.97%
Cristhian Paredes,84.63%,83.18%,11.77,1.46,19.77,4.67,7.27%
Perry Kitchen,87.10%,81.74%,11.63,5.36,17.87,6.20,5.94%
Darwin Cerén,87.69%,84.26%,11.16,3.44,23.05,5.22,5.91%
Franco Escobar,81.94%,81.00%,10.98,0.94,18.88,1.87,8.94%
Waylon Francis,77.00%,75.73%,10.59,1.26,19.14,5.11,8.91%
Gedion Zelalem,89.36%,84.99%,10.28,4.37,18.91,3.27,4.81%
Shea Salinas,79.28%,77.79%,10.22,1.48,17.63,1.04,4.69%
Oriol Rosell,85.76%,84.72%,10.04,1.04,20.26,6.34,9.75%
Andrés Flores,86.65%,83.71%,9.90,2.94,17.20,2.71,4.76%
Brent Kallman,86.75%,85.22%,9.67,1.53,21.83,7.44,8.53%
Aníbal Godoy,88.93%,87.84%,9.32,1.09,21.45,3.75,10.33%
Aleksandar Katai,75.41%,74.47%,9.13,0.94,17.37,0.09,8.29%
Ilie Sánchez,84.95%,84.44%,9.10,0.51,22.22,6.26,9.86%
Maikel van der Werff,81.13%,79.17%,9.04,1.96,25.29,10.84,10.51%
Greg Ranjitsingh,64.94%,53.33%,8.93,11.60,51.43,45.50,14.14%
Dillon Serna,74.09%,71.15%,8.82,2.93,20.70,5.20,5.41%
Carles Gil,76.27%,75.85%,8.80,0.42,21.18,5.75,13.39%
Rece Buckmaster,77.49%,74.25%,8.77,3.24,15.51,6.75,9.74%
Everton Luiz,86.54%,85.59%,8.75,0.95,17.13,2.72,7.48%
Luis Caicedo,80.76%,79.87%,8.62,0.88,19.79,6.92,7.92%
Brandt Bronico,79.94%,79.05%,8.60,0.89,18.53,4.42,6.88%
Tyler Miller,79.88%,78.85%,8.49,1.03,34.44,26.22,11.59%
Wil Trapp,85.24%,84.76%,8.48,0.48,20.67,5.47,11.52%
Cody Cropper,75.27%,70.64%,8.43,4.63,41.50,32.87,21.55%
Brad Guzan,74.41%,73.73%,8.30,0.68,39.46,29.14,16.77%
Keaton Parks,85.67%,84.80%,8.24,0.87,18.41,4.37,7.76%
Tony Rocha,86.89%,85.30%,8.12,1.59,16.55,1.39,5.61%
Jay Chapman,81.56%,78.75%,7.92,2.81,16.71,0.64,3.16%
Giancarlo González,80.78%,79.31%,7.90,1.47,24.27,9.88,6.32%
Anton Tinnerholm,74.98%,74.50%,7.83,0.49,18.65,5.09,9.34%
Matt Turner,65.18%,63.75%,7.66,1.43,45.37,38.88,19.72%
Bryan Acosta,85.32%,84.86%,7.61,0.46,23.61,5.34,11.01%
Tomás Martínez,80.81%,80.08%,7.56,0.73,18.96,4.69,7.79%
Eric Miller,78.15%,76.30%,7.20,1.85,19.36,3.55,7.00%
Yohan Croizet,80.58%,79.00%,7.07,1.58,19.65,2.00,4.96%
Francisco Calvo,77.65%,77.20%,7.03,0.45,23.80,10.99,11.04%
Bressan,81.69%,80.77%,6.94,0.91,21.70,6.86,8.42%
Marcos López,79.40%,78.52%,6.65,0.87,20.33,2.38,7.46%
Román Torres,78.46%,77.15%,6.61,1.31,25.72,10.43,6.94%
Jalil Anibaba,68.11%,67.12%,6.37,0.99,26.81,15.38,8.34%
Sebastien Ibeagha,83.87%,82.75%,6.31,1.12,21.82,7.26,4.93%
Chris Pontius,83.28%,81.12%,6.30,2.15,12.89,-0.81,3.35%
Nouhou Tolo,82.00%,80.77%,6.15,1.23,17.05,1.00,4.87%
Andrew Gutman,75.26%,73.12%,6.14,2.14,19.48,7.80,9.08%
Shamit Shome,83.25%,82.28%,6.13,0.98,17.12,3.96,5.06%
Joseph Mora,72.66%,71.83%,6.08,0.84,17.37,5.65,8.04%
Renzo Zambrano,88.36%,87.09%,5.91,1.27,22.04,4.62,9.26%
Nicolas Hasler,80.89%,79.59%,5.86,1.30,19.44,3.61,6.74%
Diego Rossi,80.40%,79.87%,5.85,0.54,15.34,-1.56,6.80%
Kendall Waston,78.46%,77.98%,5.80,0.48,25.17,11.60,11.17%
Brad Knighton,64.04%,61.26%,5.65,2.78,47.59,40.75,16.64%
Aurélien Collin,85.08%,83.29%,5.63,1.79,22.69,10.34,9.53%
Clint Irwin,55.82%,53.91%,5.59,1.91,49.31,44.36,17.06%
Tsubasa Endoh,79.71%,78.17%,5.40,1.54,17.75,-1.50,4.95%
Gianluca Busio,85.49%,84.11%,5.34,1.38,17.83,-1.97,4.01%
Edgar Castillo,74.68%,74.12%,5.34,0.56,18.91,8.66,10.80%
Przemyslaw Tyton,65.82%,64.70%,5.34,1.13,42.95,34.65,16.54%
André Horta,87.60%,83.49%,5.30,4.11,18.53,1.98,5.10%
Kevin Garcia,80.48%,79.33%,5.24,1.15,22.39,7.29,8.25%
Tim Melia,77.87%,77.40%,4.94,0.47,35.75,26.06,14.87%
Marvin Loría,82.01%,80.59%,4.81,1.42,17.47,0.04,3.78%
Luis Martins,75.20%,74.27%,4.63,0.93,18.31,4.12,10.14%
Lucas Rodríguez,84.94%,84.48%,4.55,0.46,17.31,1.76,7.57%
John Nelson,79.63%,78.24%,4.50,1.39,18.42,2.88,6.36%
Felipe,83.17%,82.76%,4.49,0.40,20.81,5.03,8.26%
Josh Pérez,83.97%,81.12%,4.45,2.85,13.98,-1.71,2.56%
Andrés Ríos,84.56%,81.59%,4.44,2.98,17.57,4.33,3.08%
Alejandro Fuenmayor,84.80%,83.78%,4.30,1.02,23.93,8.12,10.44%
Jesús Medina,83.92%,82.55%,4.27,1.37,17.25,1.14,3.76%
Frankie Amaya,83.51%,82.78%,4.14,0.73,19.44,1.30,7.02%
Ashtone Morgan,78.81%,76.10%,4.09,2.71,16.94,3.55,3.53%
Przemyslaw Frankowski,76.00%,75.60%,4.04,0.39,17.95,1.18,7.39%
Deklan Wynne,77.84%,76.83%,3.90,1.00,22.69,10.18,9.30%
Justin Portillo,89.66%,87.09%,3.71,2.56,22.39,3.64,6.77%
Diego Fagundez,79.34%,78.66%,3.65,0.67,18.18,4.23,4.60%
Brek Shea,79.10%,78.50%,3.55,0.59,18.40,1.93,5.65%
Niko Hansen,79.59%,77.19%,3.52,2.40,17.51,0.65,2.54%
Chris McCann,79.50%,77.33%,3.50,2.17,18.93,4.15,5.43%
Eduardo Sosa,83.89%,81.55%,3.49,2.34,16.14,3.50,4.26%
Collin Martin,86.41%,83.04%,3.46,3.36,20.99,3.06,6.81%
Jonathan Campbell,83.50%,81.78%,3.44,1.72,23.25,8.66,10.70%
Axel Sjöberg,84.62%,83.02%,3.33,1.60,20.86,6.86,6.89%
David Ousted,65.38%,64.55%,3.26,0.84,42.79,34.55,14.59%
Raheem Edwards,80.00%,77.61%,3.22,2.39,17.57,5.44,7.54%
Kyle Beckerman,84.45%,84.22%,3.16,0.23,20.27,5.52,10.92%
Carlos Miguel Coronel,61.00%,57.86%,3.14,3.14,46.00,39.81,15.76%
Francois Affolter,91.23%,85.97%,3.00,5.26,20.57,3.53,12.78%
Marcelo,77.80%,77.29%,2.92,0.51,24.25,10.48,7.55%
Dejan Jakovic,86.90%,83.50%,2.86,3.41,20.22,6.81,8.95%
Chris Odoi-Atsem,80.56%,76.66%,2.81,3.90,16.18,4.51,5.00%
Ezequiel Barco,79.23%,78.66%,2.79,0.57,17.72,1.74,6.53%
Alex De John,80.31%,78.23%,2.65,2.09,22.05,9.54,6.46%
Rod Fanni,86.47%,84.55%,2.54,1.91,22.33,8.97,9.54%
Paul Marie,75.00%,73.53%,2.53,1.47,18.05,3.65,4.10%
Eric Remedi,87.90%,87.71%,2.53,0.19,19.35,3.36,8.34%
Emerson Hyndman,83.26%,82.69%,2.50,0.56,16.11,2.45,5.59%
Zakaria Diallo,83.57%,83.38%,2.48,0.18,24.51,10.29,11.07%
Matthew Real,79.25%,74.59%,2.47,4.65,18.07,3.13,3.06%
Shaft Brewer,89.04%,85.76%,2.40,3.28,17.51,1.51,12.16%
Michael Salazar,82.69%,78.33%,2.27,4.36,16.43,-0.54,1.70%
Jeff Attinella,66.04%,65.35%,2.20,0.69,43.24,35.90,20.14%
Tim Howard,57.12%,56.84%,2.20,0.29,48.65,42.92,17.71%
Olivier Mbaizo,71.43%,69.47%,2.20,1.96,17.57,1.19,6.88%
Will Johnson,85.76%,85.53%,2.15,0.24,19.28,2.29,8.94%
Jimmy Maurer,83.33%,79.80%,2.12,3.54,34.36,22.56,9.63%
Marquinhos Pedroso,75.11%,74.19%,2.04,0.92,18.82,2.81,6.16%
Bryan Reynolds,76.19%,73.24%,1.86,2.95,15.28,0.15,1.42%
Chris Duvall,79.66%,76.52%,1.86,3.14,20.69,5.67,12.46%
Aboubacar Keita,83.12%,82.56%,1.81,0.56,24.27,9.11,7.62%
Mark McKenzie,85.42%,84.85%,1.69,0.57,21.12,7.05,8.67%
Jordan Hamilton,85.31%,84.14%,1.69,1.18,13.49,-3.51,2.23%
Ali Adnan,74.88%,74.77%,1.66,0.11,19.99,4.64,11.73%
Steve Clark,76.48%,76.29%,1.65,0.20,38.40,28.50,16.54%
Felipe Hernandez,78.95%,70.37%,1.63,8.57,15.37,1.88,3.36%
Servando Carrasco,83.95%,82.96%,1.60,0.99,20.94,5.97,2.46%
Amando Moreno,88.00%,81.82%,1.55,6.18,16.03,1.26,1.17%
Marco Fabián,83.27%,83.07%,1.52,0.20,18.08,1.95,6.79%
Brendan McDonough,91.18%,86.85%,1.47,4.33,23.75,4.56,7.14%
Derrick Etienne,71.06%,70.46%,1.43,0.61,18.15,2.86,3.93%
Luis Felipe,87.50%,78.71%,1.41,8.79,20.16,11.20,1.53%
Danilo Silva,79.53%,78.43%,1.40,1.10,20.48,8.75,5.80%
Saad Abdul-Salaam,76.25%,76.01%,1.39,0.24,19.07,4.32,6.13%
Corben Bone,87.00%,85.61%,1.39,1.39,15.87,-0.33,3.27%
Anthony Fontana,88.73%,86.81%,1.36,1.92,15.33,0.49,1.99%
Julian Araujo,72.98%,72.67%,1.34,0.31,18.44,4.39,5.87%
Nani,75.69%,75.60%,1.30,0.09,19.02,3.56,9.96%
Cristian Pavón,73.20%,72.92%,1.30,0.28,16.44,2.21,9.88%
Javier Pérez,95.24%,89.08%,1.29,6.16,20.74,8.02,2.87%
Rodney Wallace,100.00%,78.83%,1.27,21.17,18.04,1.74,1.25%
Emmanuel Boateng,72.79%,72.40%,1.13,0.39,15.30,0.60,2.88%
Kenneth Kronholm,76.83%,76.67%,1.08,0.16,34.98,25.56,11.36%
Daniel Kinumbe,82.35%,79.27%,1.05,3.08,17.13,-0.73,6.50%
Matt Lampson,90.48%,85.51%,1.04,4.97,30.36,22.49,17.01%
Ryan Telfer,100.00%,70.30%,0.89,29.70,18.14,-8.63,1.06%
Ricardo Pepi,75.00%,70.70%,0.86,4.30,13.94,5.31,0.86%
Brad Stuver,85.33%,84.87%,0.85,0.46,32.89,22.22,17.46%
Eric Alexander,84.89%,84.33%,0.78,0.56,15.79,1.91,4.91%
Modou Jadama,76.74%,75.41%,0.57,1.33,20.50,1.33,9.15%
Jasser Khmiri,84.21%,81.26%,0.56,2.95,21.79,14.09,7.89%
Dillon Powers,83.68%,83.52%,0.53,0.16,18.82,3.76,9.96%
Amar Sejdic,88.89%,86.99%,0.51,1.90,17.97,-1.71,5.56%
Tommy McCabe,87.59%,87.22%,0.50,0.37,20.24,4.75,5.03%
Luis Arriaga,100.00%,84.03%,0.48,15.97,15.81,7.17,0.59%
Siad Haji,72.00%,70.14%,0.47,1.86,16.23,1.07,1.56%
Diedie Traore,73.28%,72.88%,0.46,0.40,18.76,5.90,6.59%
Akeem Ward,66.67%,62.06%,0.41,4.61,14.81,7.27,2.97%
Alfonso Ocampo-Chavez,86.67%,83.98%,0.40,2.69,12.43,-3.21,1.30%
Peter-Lee Vassell,83.18%,82.84%,0.36,0.34,16.11,3.06,3.33%
Mark-Anthony Kaye,83.84%,83.83%,0.31,0.02,18.23,5.37,10.87%
Diego Palacios,80.25%,79.87%,0.30,0.37,17.94,1.37,6.64%
Jimmy Medranda,74.68%,74.31%,0.30,0.38,18.69,2.10,1.98%
Alex Roldan,83.22%,83.03%,0.29,0.19,17.60,0.66,4.13%
Justin Haak,100.00%,75.24%,0.25,24.76,9.32,9.20,0.17%
Tajon Buchanan,65.71%,65.40%,0.22,0.32,15.25,2.00,3.12%
Thomás Chacón,83.33%,82.66%,0.16,0.68,14.90,-3.19,3.54%
Adrián Zendejas,86.36%,86.00%,0.16,0.37,30.54,20.33,11.79%
Foster Langsdorf,60.00%,56.81%,0.16,3.19,10.63,1.70,1.09%
James Sands,86.51%,86.50%,0.15,0.02,20.76,5.81,8.68%
Shandon Hopeau,84.62%,83.51%,0.14,1.11,12.83,-4.50,2.15%
Mo Adams,84.08%,84.04%,0.14,0.05,17.05,4.33,4.59%
Francis Atuahene,100.00%,95.43%,0.14,4.57,10.94,-6.94,2.47%
Kevin Kratz,100.00%,94.03%,0.12,5.97,17.78,8.97,0.64%
Sebastián Saucedo,77.26%,77.24%,0.10,0.02,21.00,2.48,5.47%
Cristian Martínez,73.17%,72.97%,0.08,0.20,19.24,2.92,1.79%
Matt Freese,58.02%,57.96%,0.07,0.06,43.50,37.51,15.46%
Jaylin Lindsey,84.62%,84.44%,0.07,0.18,22.31,1.30,10.29%
Michee Ngalina,100.00%,95.58%,0.04,4.42,9.45,-9.32,0.19%
Daniel Bedoya,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00%
Juan Pablo Torres,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00%
Robin Lod,81.37%,81.41%,-0.08,-0.04,16.29,1.77,4.96%
Zachary Brault-Guillard,74.57%,74.59%,-0.10,-0.02,19.45,4.56,8.45%
Johan Blomberg,74.29%,74.57%,-0.10,-0.28,13.89,1.85,3.66%
Juninho Pereira,93.33%,94.35%,-0.15,-1.02,13.49,-5.19,1.04%
Derrick Jones,85.71%,86.93%,-0.17,-1.21,11.55,2.05,2.88%
José Bizama,75.00%,75.13%,-0.24,-0.13,18.48,3.26,9.74%
Joe Gyau,83.22%,83.43%,-0.30,-0.20,14.31,-1.66,5.56%
Emil Cuello,75.81%,76.30%,-0.31,-0.49,19.02,3.07,2.32%
Wilfried Moimbé,66.12%,66.37%,-0.31,-0.26,21.77,10.46,8.68%
Ayo Akinola,85.48%,86.01%,-0.33,-0.53,15.74,-3.59,1.78%
Harry Shipp,81.59%,81.63%,-0.34,-0.05,16.94,3.25,5.53%
Eric Dick,68.97%,70.24%,-0.37,-1.27,40.63,34.15,23.70%
Luis Argudo,82.14%,82.23%,-0.37,-0.09,17.00,0.90,5.18%
Ethan Zubak,62.50%,67.72%,-0.42,-5.22,18.48,9.52,1.19%
Brian Wright,33.33%,48.67%,-0.46,-15.34,12.26,5.48,0.49%
Doneil Henry,81.83%,81.88%,-0.47,-0.05,23.88,10.77,8.80%
Clément Bayiha,75.27%,75.59%,-0.58,-0.32,13.02,-0.39,4.05%
Mohamed El-Munir,79.39%,79.52%,-0.60,-0.13,17.17,4.45,5.63%
Georges Mukumbilwa,33.33%,53.91%,-0.62,-20.58,19.31,0.96,0.66%
Luke Mulholland,66.67%,72.47%,-0.70,-5.80,22.87,17.44,2.92%
